Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A
SC0,3/14/2026,18:00,Aberdeen,Falkirk,2.87,3.4,2.3
SC0,3/14/2026,18:00,Celtic,Motherwell,1.62,3.9,5
SC0,3/14/2026,18:00,Hibernian,Livingston,1.37,4.33,7
SC0,3/14/2026,18:00,Kilmarnock,Hearts,4.75,3.6,1.66
SC0,3/15/2026,18:00,St Mirren,Rangers,5,3.9,1.61
SC0,3/15/2026,18:00,Dundee,Dundee United,2.1,3.4,3.1
