Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A
D1,3/13/2026,18:00,M'gladbach,St Pauli,1.95,3.25,4
D1,3/14/2026,18:00,Leverkusen,Bayern Munich,4.75,4.2,1.6
D1,3/14/2026,18:00,Dortmund,Augsburg,1.4,4.33,7
D1,3/14/2026,18:00,Ein Frankfurt,Heidenheim,1.5,4.2,5.75
D1,3/14/2026,18:00,Hoffenheim,Wolfsburg,1.48,4.5,5.75
D1,3/14/2026,18:00,Hamburg,FC Koln,2,3.5,3.4
D1,3/15/2026,18:00,Werder Bremen,Mainz,2.2,3.4,3
D1,3/15/2026,18:00,Freiburg,Union Berlin,2.15,3.2,3.4
D1,3/15/2026,18:00,Stuttgart,RB Leipzig,2.2,3.9,2.7
